stall_ms,period_ms,verdict,tx_events,max_gap_ms,median_gap_ms,p90_gap_ms,capture,transcript,verdict_v2,monotone_prefix_max_ms,it_count,poll_count,verdict_v2,monotone_prefix_max_ms,it_count,poll_count
50,233,FAIL_STUCK,59,2700,845,1500,s50_p233_yield.log,s50_p233_yield.txt,FAIL_STUCK,995,0,59,FAIL_STUCK,995,0,59
50,250,FAIL_STUCK,56,3900,805,2100,s50_p250_yield.log,s50_p250_yield.txt,FAIL_STUCK,3150,0,56,FAIL_STUCK,3150,0,56
50,373,FAIL_STUCK,53,3763,914,1497,s50_p373_yield.log,s50_p373_yield.txt,FAIL_STUCK,1700,0,53,FAIL_STUCK,1700,0,53
50,500,FAIL_STUCK,51,2346,1098,1746,s50_p500_yield.log,s50_p500_yield.txt,FAIL_STUCK,730,0,51,FAIL_STUCK,730,0,51
100,125,SKIPPED_REDUNDANT,0,0,0,0,,,SKIPPED_REDUNDANT,0,0,0,ERROR,-1,0,0
100,145,SKIPPED_REDUNDANT,0,0,0,0,,,SKIPPED_REDUNDANT,0,0,0,ERROR,-1,0,0
100,150,SKIPPED_REDUNDANT,0,0,0,0,,,SKIPPED_REDUNDANT,0,0,0,ERROR,-1,0,0
100,155,SKIPPED_REDUNDANT,0,0,0,0,,,SKIPPED_REDUNDANT,0,0,0,ERROR,-1,0,0
100,200,FAIL_STUCK,67,1333,900,1050,s100_p200_yield.log,s100_p200_yield.txt,FAIL_STUCK,900,0,67,FAIL_STUCK,900,0,67
100,233,FAIL_STUCK,52,1665,1145,1511,s100_p233_yield.log,s100_p233_yield.txt,FAIL_STUCK,1536,0,52,FAIL_STUCK,1536,0,52
100,250,FAIL_STUCK,64,1545,898,1247,s100_p250_yield.log,s100_p250_yield.txt,FAIL_STUCK,1545,0,64,FAIL_STUCK,1545,0,64
100,373,FAIL_STUCK,63,1968,799,1496,s100_p373_yield.log,s100_p373_yield.txt,FAIL_STUCK,1883,0,63,FAIL_STUCK,1883,0,63
100,500,FAIL_STUCK,58,2050,950,1550,s100_p500_yield.log,s100_p500_yield.txt,FAIL_STUCK,1818,0,58,FAIL_STUCK,1818,0,58
250,125,SKIPPED_REDUNDANT,0,0,0,0,,,SKIPPED_REDUNDANT,0,0,0,ERROR,-1,0,0
250,145,SKIPPED_REDUNDANT,0,0,0,0,,,SKIPPED_REDUNDANT,0,0,0,ERROR,-1,0,0
250,150,SKIPPED_REDUNDANT,0,0,0,0,,,SKIPPED_REDUNDANT,0,0,0,ERROR,-1,0,0
250,155,SKIPPED_REDUNDANT,0,0,0,0,,,SKIPPED_REDUNDANT,0,0,0,ERROR,-1,0,0
250,200,SKIPPED_REDUNDANT,0,0,0,0,,,SKIPPED_REDUNDANT,0,0,0,ERROR,-1,0,0
250,233,SKIPPED_REDUNDANT,0,0,0,0,,,SKIPPED_REDUNDANT,0,0,0,ERROR,-1,0,0
250,250,SKIPPED_REDUNDANT,0,0,0,0,,,SKIPPED_REDUNDANT,0,0,0,ERROR,-1,0,0
250,373,SKIPPED_REDUNDANT,0,0,0,0,,,SKIPPED_REDUNDANT,0,0,0,ERROR,-1,0,0
250,500,FAIL_STUCK,50,2247,1094,1727,s250_p500_yield.log,s250_p500_yield.txt,FAIL_STUCK,1153,0,50,FAIL_STUCK,1153,0,50
