PKT t=16756 RX ua=95 mt=R len=7
PKT t=16761 TX ua=95 mt=P len=0
PKT t=16791 RX ua=95 mt=R len=7
PKT t=16796 TX ua=95 mt=P len=0
PKT t=16805 RX ua=95 mt=R len=7
PKT t=16810 TX ua=95 mt=P len=0
PKT t=16819 RX ua=95 mt=R len=7
PKT t=16824 TX ua=95 mt=P len=0
PKT t=16833 RX ua=95 mt=R len=7
PKT t=16838 TX ua=95 mt=P len=0
PKT t=16847 RX ua=95 mt=R len=7
PKT t=16852 TX ua=95 mt=T len=7
PKT t=16864 TX ua=95 mt=P len=0
PKT t=16892 RX ua=95 mt=R len=7
PKT t=16897 TX ua=95 mt=P len=0
PKT t=16906 RX ua=95 mt=R len=7
PKT t=16911 TX ua=95 mt=P len=0
PKT t=16920 RX ua=95 mt=R len=7
PKT t=16925 TX ua=95 mt=P len=0
PKT t=16934 RX ua=95 mt=R len=7
PKT t=16939 TX ua=95 mt=P len=0
PKT t=16948 RX ua=95 mt=R len=7
PKT t=16953 TX ua=95 mt=P len=0
PKT t=16962 RX ua=95 mt=R len=7
PKT t=16967 TX ua=95 mt=P len=0
PKT t=16996 RX ua=95 mt=R len=7
PKT t=17001 TX ua=95 mt=P len=0
PKT t=17010 RX ua=95 mt=R len=7
PKT t=17036 TX ua=95 mt=P len=0
PKT t=17045 RX ua=95 mt=R len=7
PKT t=17050 TX ua=95 mt=P len=0
PKT t=17059 RX ua=95 mt=R len=7
PKT t=17064 TX ua=95 mt=P len=0
PKT t=17096 RX ua=95 mt=R len=7
PKT t=17101 TX ua=95 mt=P len=0
PKT t=17110 RX ua=95 mt=R len=7
PKT t=17115 TX ua=95 mt=T len=7
PKT t=17127 TX ua=95 mt=P len=0
PKT t=17136 RX ua=95 mt=R len=7
PKT t=17141 TX ua=95 mt=P len=0
PKT t=17150 RX ua=95 mt=R len=7
PKT t=17155 TX ua=95 mt=P len=0
PKT t=17181 RX ua=95 mt=R len=7
PKT t=17436 TX ua=96 mt=P len=0
PKT t=17694 TX ua=95 mt=P len=0
PKT t=17703 RX ua=95 mt=R len=7
PKT t=17708 TX ua=95 mt=T len=7
PKT t=17720 TX ua=95 mt=P len=0
PKT t=17730 RX ua=95 mt=R len=7
PKT t=17735 TX ua=95 mt=P len=0
PKT t=17761 RX ua=95 mt=R len=7
PKT t=18016 TX ua=96 mt=P len=0
PKT t=18274 TX ua=95 mt=P len=0
PKT t=18284 RX ua=95 mt=R len=7
PKT t=18289 TX ua=95 mt=T len=7
PKT t=18301 TX ua=95 mt=P len=0
PKT t=18310 RX ua=95 mt=R len=7
PKT t=18315 TX ua=95 mt=P len=0
PKT t=18341 RX ua=95 mt=R len=7
PKT t=18596 TX ua=96 mt=P len=0
PKT t=18854 TX ua=95 mt=P len=0
PKT t=18863 RX ua=95 mt=R len=7
PKT t=18868 TX ua=95 mt=T len=7
PKT t=18881 TX ua=95 mt=P len=0
PKT t=18921 RX ua=95 mt=R len=7
PKT t=18926 TX ua=95 mt=T len=7
PKT t=18939 TX ua=95 mt=P len=0
PKT t=18948 RX ua=95 mt=R len=7
PKT t=18953 TX ua=95 mt=P len=0
PKT t=18962 RX ua=95 mt=R len=7
PKT t=18967 TX ua=95 mt=P len=0
PKT t=18998 RX ua=95 mt=R len=7
PKT t=19003 TX ua=95 mt=P len=0
PKT t=19012 RX ua=95 mt=R len=7
PKT t=19017 TX ua=95 mt=P len=0
PKT t=19026 RX ua=95 mt=R len=7
PKT t=19031 TX ua=95 mt=P len=0
PKT t=19040 RX ua=95 mt=R len=7
PKT t=19066 TX ua=95 mt=P len=0
PKT t=19098 RX ua=95 mt=R len=7
PKT t=19103 TX ua=95 mt=P len=0
PKT t=19112 RX ua=95 mt=R len=7
PKT t=19117 TX ua=95 mt=P len=0
PKT t=19126 RX ua=95 mt=R len=7
