PKT t=17311 TX ua=95 mt=P len=0
PKT t=17320 RX ua=95 mt=R len=7
PKT t=17325 TX ua=95 mt=P len=0
PKT t=17354 RX ua=95 mt=R len=7
PKT t=17359 TX ua=95 mt=P len=0
PKT t=17368 RX ua=95 mt=R len=7
PKT t=17373 TX ua=95 mt=P len=0
PKT t=17382 RX ua=95 mt=R len=7
PKT t=17387 TX ua=95 mt=P len=0
PKT t=17396 RX ua=95 mt=R len=7
PKT t=17401 TX ua=95 mt=P len=0
PKT t=17410 RX ua=95 mt=R len=7
PKT t=17415 TX ua=95 mt=P len=0
PKT t=17424 RX ua=95 mt=R len=7
PKT t=17429 TX ua=95 mt=P len=0
PKT t=17458 RX ua=95 mt=R len=7
PKT t=17463 TX ua=95 mt=T len=7
PKT t=17475 TX ua=95 mt=P len=0
PKT t=17485 RX ua=95 mt=R len=7
PKT t=17511 TX ua=95 mt=P len=0
PKT t=17521 RX ua=95 mt=R len=7
PKT t=17526 TX ua=95 mt=P len=0
PKT t=17558 RX ua=95 mt=R len=7
PKT t=17563 TX ua=95 mt=P len=0
PKT t=17573 RX ua=95 mt=R len=7
PKT t=17578 TX ua=95 mt=P len=0
PKT t=17588 RX ua=95 mt=R len=7
PKT t=17593 TX ua=95 mt=P len=0
PKT t=17603 RX ua=95 mt=R len=7
PKT t=17608 TX ua=95 mt=P len=0
PKT t=17618 RX ua=95 mt=R len=7
PKT t=17623 TX ua=95 mt=P len=0
PKT t=17633 RX ua=95 mt=R len=7
PKT t=17638 TX ua=95 mt=P len=0
PKT t=17671 RX ua=95 mt=R len=7
PKT t=17676 TX ua=95 mt=P len=0
PKT t=17686 RX ua=95 mt=R len=7
PKT t=17691 TX ua=95 mt=P len=0
PKT t=17701 RX ua=95 mt=R len=7
PKT t=17706 TX ua=95 mt=P len=0
PKT t=17716 RX ua=95 mt=R len=7
PKT t=17721 TX ua=95 mt=T len=7
PKT t=17733 TX ua=95 mt=P len=0
PKT t=17766 RX ua=95 mt=R len=7
PKT t=17771 TX ua=95 mt=P len=0
PKT t=17780 RX ua=95 mt=R len=7
PKT t=17785 TX ua=95 mt=P len=0
PKT t=17794 RX ua=95 mt=R len=7
PKT t=17799 TX ua=95 mt=P len=0
PKT t=17831 RX ua=95 mt=R len=7
PKT t=17836 TX ua=95 mt=P len=0
PKT t=17866 RX ua=95 mt=R len=7
PKT t=17871 TX ua=95 mt=P len=0
PKT t=17880 RX ua=95 mt=R len=7
PKT t=17885 TX ua=95 mt=P len=0
PKT t=17894 RX ua=95 mt=R len=7
PKT t=17899 TX ua=95 mt=P len=0
PKT t=17908 RX ua=95 mt=R len=7
PKT t=17913 TX ua=95 mt=P len=0
PKT t=17922 RX ua=95 mt=R len=7
PKT t=17927 TX ua=95 mt=P len=0
PKT t=17936 RX ua=95 mt=R len=7
PKT t=17941 TX ua=95 mt=P len=0
PKT t=17991 RX ua=95 mt=R len=7
PKT t=17996 TX ua=95 mt=T len=7
PKT t=18008 TX ua=95 mt=P len=0
PKT t=18017 RX ua=95 mt=R len=7
PKT t=18022 TX ua=95 mt=P len=0
PKT t=18031 RX ua=95 mt=R len=7
PKT t=18036 TX ua=95 mt=P len=0
PKT t=18070 RX ua=95 mt=R len=7
PKT t=18075 TX ua=95 mt=P len=0
PKT t=18084 RX ua=95 mt=R len=7
PKT t=18089 TX ua=95 mt=P len=0
PKT t=18098 RX ua=95 mt=R len=7
PKT t=18103 TX ua=95 mt=P len=0
PKT t=18112 RX ua=95 mt=R len=7
PKT t=18117 TX ua=95 mt=T len=7
PKT t=18151 TX ua=95 mt=P len=0
PKT t=18173 RX ua=95 mt=R len=7
PKT t=18178 TX ua=95 mt=T len=7
PKT t=18191 TX ua=95 mt=P len=0
PKT t=18201 RX ua=95 mt=R len=7
PKT t=18206 TX ua=95 mt=P len=0
PKT t=18215 RX ua=95 mt=R len=7
PKT t=18220 TX ua=95 mt=T len=7
PKT t=18233 TX ua=95 mt=P len=0
PKT t=18242 RX ua=95 mt=R len=7
PKT t=18247 TX ua=95 mt=P len=0
PKT t=18277 RX ua=95 mt=R len=7
PKT t=18282 TX ua=95 mt=P len=0
PKT t=18311 RX ua=95 mt=R len=7
PKT t=18316 TX ua=95 mt=P len=0
PKT t=18325 RX ua=95 mt=R len=7
PKT t=18330 TX ua=95 mt=P len=0
PKT t=18339 RX ua=95 mt=R len=7
PKT t=18344 TX ua=95 mt=P len=0
PKT t=18375 RX ua=95 mt=R len=7
PKT t=18380 TX ua=95 mt=P len=0
PKT t=18389 RX ua=95 mt=R len=7
PKT t=18394 TX ua=95 mt=P len=0
PKT t=18403 RX ua=95 mt=R len=7
PKT t=18408 TX ua=95 mt=P len=0
PKT t=18417 RX ua=95 mt=R len=7
PKT t=18422 TX ua=95 mt=P len=0
PKT t=18431 RX ua=95 mt=R len=7
PKT t=18436 TX ua=95 mt=P len=0
PKT t=18445 RX ua=95 mt=R len=7
PKT t=18471 TX ua=95 mt=P len=0
PKT t=18480 RX ua=95 mt=R len=7
PKT t=18485 TX ua=95 mt=T len=7
PKT t=18498 TX ua=95 mt=P len=0
PKT t=18507 RX ua=95 mt=R len=7
PKT t=18512 TX ua=95 mt=P len=0
PKT t=18521 RX ua=95 mt=R len=7
PKT t=18526 TX ua=95 mt=P len=0
PKT t=18535 RX ua=95 mt=R len=7
PKT t=18540 TX ua=95 mt=P len=0
PKT t=18549 RX ua=95 mt=R len=7
PKT t=18554 TX ua=95 mt=P len=0
PKT t=18584 RX ua=95 mt=R len=7
PKT t=18589 TX ua=95 mt=P len=0
PKT t=18598 RX ua=95 mt=R len=7
PKT t=18603 TX ua=95 mt=P len=0
